scorer,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru
bodyparts,right_eye,right_eye,left_eye,left_eye,nose,nose,top_head,top_head,right_ear_base,right_ear_base,left_ear_base,left_ear_base,neck,neck,right_front_wrist,right_front_wrist,right_front_paw,right_front_paw,left_front_wrist,left_front_wrist,left_front_paw,left_front_paw,whithers,whithers,spine_1,spine_1,spine_2,spine_2,tail_tip,tail_tip,left_back_wrist,left_back_wrist,left_back_paw,left_back_paw,right_back_wrist,right_back_wrist,right_back_paw,right_back_paw
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/milo_15s/dogcam_89_single_29s_mp4-0006_jpg.rf.4c30e471455a26a1d96498d3b24d7bed.jpg,173.159,326.81,318.425,325.328,273.215,436.5,241.345,234.166,148.702,260.106,348.812,291.235,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/The-Cutest-Corgis-Loving-Their-Furbo-Dog-Camera_mp4-0013_jpg.rf.8e2ae11cec1d956d9b7b9170a8f48c9a.jpg,,,,,338.753,318.006,346.555,269.34,344.944,279.282,343.473,260.693,,,269.498,311.455,294.442,319.767,,,,,310.147,237.109,229.22,212.734,148.012,180.31,,,,,,,158.636,263.43,167.413,275.898
labeled-data/milo_15s/Hidden-cam-recorded-dog-Super-Funny-Cute-Dog-Videos_mp4-0013_jpg.rf.137d39f0de67c67316e2a193fa58d63b.jpg,130.345,140.22,204.955,176.064,153.752,192.889,202.421,70.066,163.893,62.656,233.483,94.866,147.593,239.004,137.22,324.956,,,,,,,,,330.038,132.905,446.925,233.077,539.973,343.582,430.625,397.57,,,343.205,329.683,,
labeled-data/milo_15s/dogcam_126_single_10s_mp4-0002_jpg.rf.a2c28fe7c00b39eaf9b5a8b95c949e03.jpg,219.79,325.55,243.778,338.11,211.26,347.862,250.882,302.279,,,276.799,320.31,,,,,,,,,,,,,267.271,296.999,275.846,267.271,258.689,296.438,294.606,320.101,293.948,338.363,,,,
labeled-data/milo_15s/Naughty-Pitbull-Caught-On-Furbo-_-Furbo-Dog-Camera_mp4-0002_jpg.rf.268373ec6c7f8b2d8c86143808fde43b.jpg,,,,,310.408,273.37,315.439,227.204,297.508,208.642,320.631,204.506,271.22,252.695,245.662,281.886,,,,,,,287.285,193.312,251.991,181.632,,,179.699,194.529,206.474,244.169,,,168.746,247.089,160.957,270.206
labeled-data/milo_15s/dogcam_203_single_60s_mp4-0012_jpg.rf.d9bd27b29be174b624878404e9d034d8.jpg,,,356.095,162.147,338.011,163.755,360.515,149.69,355.09,149.69,365.157,150.884,361.721,181.839,327.424,204.619,313.096,204.544,369.414,215.631,361.319,220.016,,,396.281,177.217,,,434.659,193.091,421.799,202.133,424.813,208.161,,,,
labeled-data/milo_15s/Golden-Retriever-Poses-for-Selfie-Furbo-Dog-Camera_mp4-0002_jpg.rf.4d3328c7f2f3cb7f2fdeed62e7c5b446.jpg,181.818,62.138,264.727,74.498,221.091,147.931,232.727,25.785,180.364,12.698,292.364,29.42,207.273,251.901,106.182,429.304,,,338.909,419.852,,,,,,,,,,,236.364,454.751,,,169.454,452.57,,
labeled-data/milo_15s/Golden-Doodle-Love_mp4-0004_jpg.rf.6a1cb2d58717b5d6296ec3e46856e4b1.jpg,257.701,319.08,266.069,322.742,248.81,335.294,275.483,297.636,264.5,297.113,284.374,304.436,,,295.88,364.584,315.755,374.522,306.863,355.17,318.37,366.153,260.316,291.883,236.781,293.975,198.079,286.653,166.176,319.08,,,,,201.217,310.189,214.815,319.603
